#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-08"
#curie_map:
#  AGRO: "http://purl.obolibrary.org/obo/AGRO_"
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  PO: "http://purl.obolibrary.org/obo/PO_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  agrovoc: "http://aims.fao.org/aos/agrovoc/"
#  dc: "http://purl.org/dc/elements/1.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
agrovoc:c_6651	roots	owl:equivalentClass	PO:0009005	root	Lexical|Stemming	agrovoc	PO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	root	many_to_one	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009059	corolla	Lexical	agrovoc	PO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	corolla	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009059	corolla	Lexical|Stemming	agrovoc	PO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	corolla	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009059	corolla	Lexical	agrovoc	PO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	corolla	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009059	corolla	Lexical|Stemming	agrovoc	PO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	corolla	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009032	petal	Lexical	agrovoc	PO	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	petal	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009032	petal	Lexical|Stemming	agrovoc	PO	rdf_matcher	0.585786437626905	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	petal	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009032	petal	Lexical|Stemming	agrovoc	PO	rdf_matcher	0.585786437626905	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	petal	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009032	petal	Lexical	agrovoc	PO	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	petal	one_to_many	.
agrovoc:c_1901	corolla	owl:equivalentClass	PO:0009032	petal	Lexical|Stemming	agrovoc	PO	rdf_matcher	0.585786437626905	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	plant_anatomy	petal	one_to_many	.
